Date,Workflow,Status,Commit,URL
2026-06-13 12:29,Python CI,✅ PASS,security: fix CodeQL taint tracking for client secret logging,https://github.com/saifmukhtar/antimatter/actions/runs/27466800994
2026-06-13 12:30,Extension CI,✅ PASS,security: fix CodeQL taint tracking for client secret logging,https://github.com/saifmukhtar/antimatter/actions/runs/27466800993
2026-06-13 12:31,Android CI,✅ PASS,security: fix CodeQL taint tracking for client secret logging,https://github.com/saifmukhtar/antimatter/actions/runs/27466801000
2026-06-13 12:39,CodeQL Advanced,✅ PASS,security: fix CodeQL taint tracking for client secret logging,https://github.com/saifmukhtar/antimatter/actions/runs/27466801004
2026-06-14 09:01,Python CI,✅ PASS,Future roadmap: Planning to support ios platform,https://github.com/saifmukhtar/antimatter/actions/runs/27494010329
2026-06-14 09:02,Extension CI,✅ PASS,Future roadmap: Planning to support ios platform,https://github.com/saifmukhtar/antimatter/actions/runs/27494010348
2026-06-14 09:04,Android CI,✅ PASS,Future roadmap: Planning to support ios platform,https://github.com/saifmukhtar/antimatter/actions/runs/27494010347
2026-06-14 09:11,CodeQL Advanced,✅ PASS,Future roadmap: Planning to support ios platform,https://github.com/saifmukhtar/antimatter/actions/runs/27494010402
2026-06-15 20:38,Core CI,❌ FAIL,Chore: Update Readme,https://github.com/saifmukhtar/antimatter/actions/runs/27574862489
2026-06-15 20:39,Deploy Documentation,✅ PASS,Chore: Update Readme,https://github.com/saifmukhtar/antimatter/actions/runs/27574862495
2026-06-15 20:39,Graph Update: pip in /adapters/ag2, /core, /core/gateway, /core/shared-config, /core/shared-crypto, /core/shared-fs, /core/shared-protocol, /plugin #1414546487,✅ PASS,Chore: Update Readme,https://github.com/saifmukhtar/antimatter/actions/runs/27574861143
2026-06-15 20:40,Core CI,❌ FAIL,Fix: Remove outputs,https://github.com/saifmukhtar/antimatter/actions/runs/27574950579
2026-06-15 20:40,Adapters CI,❌ FAIL,Fix: Remove outputs,https://github.com/saifmukhtar/antimatter/actions/runs/27574951546
2026-06-15 20:41,npm_and_yarn in /adapters/ag for form-data - Update #1414549423,✅ PASS,Fix: Remove outputs,https://github.com/saifmukhtar/antimatter/actions/runs/27574975318
2026-06-15 20:42,Android CI,❌ FAIL,Chore: Update Readme,https://github.com/saifmukhtar/antimatter/actions/runs/27574859444
2026-06-15 20:44,Android CI,❌ FAIL,Fix: Remove outputs,https://github.com/saifmukhtar/antimatter/actions/runs/27574950598
2026-06-15 20:45,Android CI,❌ FAIL,chore(deps-dev): bump form-data from 4.0.5 to 4.0.6 in /adapters/ag,https://github.com/saifmukhtar/antimatter/actions/runs/27575026885
2026-06-15 20:47,CodeQL Advanced,❌ FAIL,Fix: Remove outputs,https://github.com/saifmukhtar/antimatter/actions/runs/27574952288
2026-06-15 20:50,CodeQL Advanced,❌ FAIL,chore(deps-dev): bump form-data from 4.0.5 to 4.0.6 in /adapters/ag,https://github.com/saifmukhtar/antimatter/actions/runs/27575026906
2026-06-15 22:21,iOS CI,✅ PASS,feat: implement native PTY terminal for iOS Android and Gateway,https://github.com/saifmukhtar/antimatter/actions/runs/27580233232
2026-06-15 22:21,Adapters CI,❌ FAIL,feat: implement native PTY terminal for iOS Android and Gateway,https://github.com/saifmukhtar/antimatter/actions/runs/27580233236
2026-06-15 22:22,Graph Update: uv in /core, /core/gateway, /core/shared-fs #1414773591,✅ PASS,feat: implement native PTY terminal for iOS Android and Gateway,https://github.com/saifmukhtar/antimatter/actions/runs/27580235376
2026-06-15 22:23,npm_and_yarn in /adapters/ag for js-yaml - Update #1414775372,❌ FAIL,chore: update workflow dashboard,https://github.com/saifmukhtar/antimatter/actions/runs/27580281687
2026-06-15 22:30,Android CI,✅ PASS,feat: implement native PTY terminal for iOS Android and Gateway,https://github.com/saifmukhtar/antimatter/actions/runs/27580233486
2026-06-15 22:31,CodeQL Advanced,✅ PASS,feat: implement native PTY terminal for iOS Android and Gateway,https://github.com/saifmukhtar/antimatter/actions/runs/27580233296
2026-06-15 22:35,iOS CI,✅ PASS,Merge pull request #3 from saifmukhtar/dependabot/npm_and_yarn/adapters/ag/form-data-4.0.6,https://github.com/saifmukhtar/antimatter/actions/runs/27580907075
2026-06-15 22:36,Android CI,⚠️ CANCEL,Merge pull request #3 from saifmukhtar/dependabot/npm_and_yarn/adapters/ag/form-data-4.0.6,https://github.com/saifmukhtar/antimatter/actions/runs/27580907090
2026-06-15 22:36,npm_and_yarn in /adapters/ag for js-yaml - Update #1414808737,⚠️ CANCEL,Merge pull request #3 from saifmukhtar/dependabot/npm_and_yarn/adapters/ag/form-data-4.0.6,https://github.com/saifmukhtar/antimatter/actions/runs/27580911135
